Year,Total Minutes Delayed,Total Delay Incidents
January 2014,4587,1783
Feb 2014,4465,1881
March 2014,3588,1878
April 2014,3569,1615
May 2014,3057,1598
June 2014,3034,1555
July 2014,3202,1644
August 2014,3111,1712
September 2014,3320,1680
October 2014,3415,1758
November 2014,3005,1623
December 2014,2824,1686
January 2015,3240,1649
February 2015,4981,1869
March 2015,3793,1952
April 2015,2839,1727
May 2015,2540,1786
June 2015,2695,1672
July 2015,2374,1886
August 2015,2154,1738
Sep 2015,2850,1896
October 2015,2845,1767
Nov 2015,2618,1799
Dec 2015,2570,1721
Jan 2016,2455,1657
Feb 2016,2483,1563
Mar 2016,3233,1659
Apr 2016,2753,1794
May 2016,3396,1761
Jun 2016,3365,1721
Jul 2016,3248,1810
August 2016,3335,1947
September 2016,3019,1751
Oct 2016,3437,1738
Nov 2016,3698,2017
Dec 2016,3853,1733
January 2017,2556,1521
Feb 2017,2779,1399
March 2017,2528,1554
April 2017,2852,1478
May 2017,3601,1634
June 2017,3336,1568
July 2017,2577,1497
August 2017,2726,1581
September 2017,2826,1478
October 2017,2743,1605
November 2017,3057,1685
December 2017,4999,1881
January 2018,5228,1873
February 2018,3878,1470
March 2018,4331,1621
April 2018,3993,1597
May 2018,3863,1761
June 2018,4257,1794
July 2018,4283,1885
August 2018,4314,1937
Sep 2018,3032,1794
October 2018,4057,1802
Nov 2018,3629,1738
Dec 2018,3413,1465
Jan 2019,4569,1871
Feb 2019,4915,1598
Mar 2019,3649,1503
Apr 2019,3461,1550
May 2019,3888,1705
Jun 2019,4303,1604
Jul 2019,3671,1696
August 2019,3462,1630
September 2019,3174,1531
Oct 2019,3516,1497
Nov 2019,3712,1463
Dec 2019,3921,1574
January 2020,3857,1339
Feb 2020,4215,1307
March 2020,4546,1495
April 2020,4808,1438
May 2020,3932,1090
June 2020,2361,929
July 2020,3793,1207
August 2020,3374,1091
September 2020,3073,1050
October 2020,3568,1270
November 2020,4545,1265
December 2020,4500,1303
January 2021,4472,1216
February 2021,3328,1245
March 2021,3513,1167
April 2021,4145,1170
May 2021,4415,1168
June 2021,3806,1265
July 2021,3493,1244
August 2021,4058,1273
Sep 2021,3989,1433
October 2021,5582,1560
Nov 2021,6517,1771
Dec 2021,6186,1858
Jan 2022,7596,1899
Feb 2022,6211,1623
Mar 2022,6342,1649
Apr 2022,6407,1619
May 2022,5633,1624
Jun 2022,5878,1643
Jul 2022,5710,1527
August 2022,6282,1626
September 2022,5392,1688
Oct 2022,5903,1665
Nov 2022,5657,1647
Dec 2022,6095,1678
Jan 2023,5768,1738
Feb 2023,5266,1904
Mar 2023,6359,2106
Apr 2023,6543,1890
May 2023,6124,1918
Jun 2023,6778,1972
Jul 2023,5795,1852
August 2023,4857,1793
September 2023,5696,1827
